Wall time,Step,Value
1618444934.5224948,3244,12946.0
1618444948.7961948,3246,12946.0
1618444956.0857651,3247,12946.0
1618445006.2321393,3254,12947.0
1618445020.5747921,3256,12947.0
1618445034.8869426,3258,12946.0
1618445099.6362238,3267,12943.0
1618445135.8165104,3272,12943.0
1618445142.8992083,3273,12943.0
1618445186.3982747,3279,12943.0
1618445200.8421707,3281,12942.0
1618445215.1721613,3283,12942.0
1618445229.376851,3285,12942.0
1618445258.2456915,3289,12940.0
1618445279.6426766,3292,12940.0
1618445308.2919633,3296,12940.0
1618445372.6902354,3305,12938.0
1618445379.987627,3306,12938.0
1618445387.1749287,3307,12938.0
1618445430.717398,3313,12937.0
1618445488.3782532,3321,12937.0
1618445517.2955043,3325,12937.0
1618445531.9406712,3327,12937.0
1618445539.277946,3328,12937.0
1618445546.7838206,3329,12937.0
1618445575.7524917,3333,12935.0
1618445611.5497348,3338,12935.0
1618445662.3890858,3345,12933.0
1618445727.0335677,3353,12932.0
